ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Graphemes,Profile
Chepang-1526_young-1,260431,Chepang,1526_young,tohā,tohā,t o h aː,,Hale1973,,,^t o h ā$,default
Chepang-1527_aged-1,260449,Chepang,1527_aged,budo,budo,b u d o,,Hale1973,,,^b u d o$,default
Chepang-1529_strong-1,260475,Chepang,1529_strong,dyun.ʔo,dyun.ʔo,d j u n + ʔ o,,Hale1973,,,^d y u n . ʔ o$,default
Chepang-1529_strong-2,260476,Chepang,1529_strong,chur.ʔo,chur.ʔo,tʃʰ u r + ʔ o,,Hale1973,,,^ch u r . ʔ o$,default
Chepang-1530_weak-1,260490,Chepang,1530_weak,gru.ʔo,gru.ʔo,g r u + ʔ o,,Hale1973,,,^g r u . ʔ o$,default
Chepang-1531_violent-1,260501,Chepang,1531_violent,kharh.ʔo,kharh.ʔo,kʰ a r̊ + ʔ o,,Hale1973,,,^kh a rh . ʔ o$,default
Chepang-1532_gentle-1,260515,Chepang,1532_gentle,kām.ʔo,kām.ʔo,k aː m + ʔ o,,Hale1973,,,^k ā m . ʔ o$,default
Chepang-1533_alive-1,260529,Chepang,1533_alive,syāk.ʔo,syāk.ʔo,s j aː k + ʔ o,,Hale1973,,,^s y ā k . ʔ o$,default
Chepang-1534_dead-1,260542,Chepang,1534_dead,si.ʔo,si.ʔo,s i + ʔ o,,Hale1973,,,^s i . ʔ o$,default
Chepang-1535_numb-1,260555,Chepang,1535_numb,thi.ʔo,thi.ʔo,tʰ i + ʔ o,,Hale1973,,,^th i . ʔ o$,default
Chepang-1536_blind-1,260568,Chepang,1536_blind,mik lok.ʔo,mik_lok.ʔo,m i k + l o k + ʔ o,,Hale1973,,,^m i k _ l o k . ʔ o$,default
Chepang-1537_deaf-1,260582,Chepang,1537_deaf,no lok.ʔo,no_lok.ʔo,n o + l o k + ʔ o,,Hale1973,,,^n o _ l o k . ʔ o$,default
Chepang-1540_careful-1,260619,Chepang,1540_careful,yāʔ.ʔo,yāʔ.ʔo,j aː ʔ + ʔ o,,Hale1973,,,^y ā ʔ . ʔ o$,default
Chepang-1541_careless-1,260633,Chepang,1541_careless,yāʔ.mā.lo,yāʔ.mā.lo,j aː ʔ + m aː + l o,,Hale1973,,,^y ā ʔ . m ā . l o$,default
Chepang-1542_intelligent-1,260647,Chepang,1542_intelligent,hwak.ʔo,hwak.ʔo,ẘ a k + ʔ o,,Hale1973,,,^hw a k . ʔ o$,default
Chepang-1543_ignorant-1,260660,Chepang,1543_ignorant,hwak.mā.lo,hwak.mā.lo,ẘ a k + m aː + l o,,Hale1973,,,^hw a k . m ā . l o$,default
Chepang-1544_cleverhands-1,260671,Chepang,1544_cleverhands,sip ciʔ.ʔo,sip_ciʔ.ʔo,s i p + c i ʔ + ʔ o,,Hale1973,,,^s i p _ c i ʔ . ʔ o$,default
