ID,Name,Concepticon_ID,Concepticon_Gloss,Number
1_i,I,1209,I,1.001
2_thou,thou,1215,THOU,1.002
3_weincl,we (incl),1131,WE (INCLUSIVE),1.003
4_this,this,1214,THIS,1.004
5_that,that,78,THAT,1.005
6_who,who,1235,WHO,1.006
7_what,what,1236,WHAT,1.007
8_not,not,1240,NOT,1.008
9_all,all,98,ALL,1.009
10_many,many,1198,MANY,1.010
11_one,one,1493,ONE,1.011
12_two,two,1498,TWO,1.012
13_big,big,1202,BIG,1.013
14_long,long,1203,LONG,1.014
15_small,small,1246,SMALL,1.015
16_woman,woman,962,WOMAN,1.016
17_man,man,1554,MAN,1.017
18_person,person,683,PERSON,1.018
19_fish,fish,227,FISH,1.019
20_bird,bird,937,BIRD,1.020
21_dog,dog,2009,DOG,1.021
22_louse,louse,1392,LOUSE,1.022
23_tree,tree,906,TREE,1.023
24_seed,seed,714,SEED,1.024
25_leaf,leaf,628,LEAF,1.025
26_root,root,670,ROOT,1.026
27_barkoftree,bark (of tree),1204,BARK,1.027
47_hand,hand,1277,HAND,1.048
53_drink,drink,1401,DRINK,1.054
54_eat,eat,1336,EAT,1.055
55_bite,bite,1403,BITE,1.056
56_see,see,1409,SEE,1.057
57_hear,hear,1408,HEAR,1.058
58_know,know,3626,KNOW,1.059
59_sleep,sleep,1585,SLEEP,1.060
60_die,die,1494,DIE,1.061
61_kill,kill,1417,KILL,1.062
62_swim,swim,1439,SWIM,1.063
63_fly,fly,1441,FLY (MOVE THROUGH AIR),1.064
64_walk,walk,1443,WALK,1.065
65_come,come,1446,COME,1.066
66_lie,lie,1411,LIE (REST),1.067
67_sit,sit,1416,SIT,1.068
68_stand,stand,1442,STAND,1.069
69_give,give,1447,GIVE,1.070
70_say,say,1458,SAY,1.071
71_sun,sun,1343,SUN,1.072
72_moon,moon,1313,MOON,1.073
73_star,star,1430,STAR,1.074
74_water,water,948,WATER,1.075
75_rain,rain,658,RAIN (PRECIPITATION),1.076
76_stone,stone,857,STONE,1.077
77_sand,sand,671,SAND,1.078
78_earth,earth,626,LAND,1.079
79_cloud,cloud,1489,CLOUD,1.080
80_smoke,smoke,778,SMOKE (EXHAUST),1.081
81_fire,fire,221,FIRE,1.082
82_ash,ash,646,ASH,1.083
83_burn,burn,2102,BURN,1.084
84_path,path,2252,PATH,1.085
85_mountain,mountain,639,MOUNTAIN,1.086
86_red,red,156,RED,1.087
87_green,green,1425,GREEN,1.088
88_yellow,yellow,1424,YELLOW,1.089
89_white,white,1335,WHITE,1.090
90_black,black,163,BLACK,1.091
91_night,night,1233,NIGHT,1.092
92_hot,hot,2272,HOT OR WARM,1.093
93_cold,cold,1287,COLD,1.094
94_full,full,1429,FULL,1.095
95_new,new,1231,NEW,1.096
96_good,good,1035,GOOD,1.097
97_round,round,1395,ROUND,1.098
98_dry,dry,1398,DRY,1.099
99_name,name,1405,NAME,1.100
100_body,body,1480,BODY,02a.01
101_skeleton,skeleton,2668,SKELETON,02a.02
102_marrow,marrow,1835,MARROW,02a.03
103_joint,joint,999,JOINT,02a.04
104_nerve,nerve,2626,NERVE,02a.05
105_bloodvessel,blood vessel,525,BLOOD VESSEL,02a.06
106_ligament,ligament,,,02a.07
107_wrinkle,wrinkle,2294,WRINKLE,02a.08
108_bodyhair,body hair,189,HAIR (BODY),02a.09
109_pubichair,pubic hair,36,PUBIC HAIR,02a.10
110_eyebrow,eyebrow,1173,EYEBROW,02a.11
111_eyelash,eyelash,1540,EYELASH,02a.12
112_beard,beard,678,BEARD,02a.13
113_mustache,mustache,1165,MOUSTACHE,02a.14
114_skull,skull,1605,SKULL,02a.15
115_brain,brain,1583,BRAIN,02a.16
116_temple,temple,1604,TEMPLES,02a.17
117_forehead,forehead,123,FOREHEAD,02a.18
118_cheek,cheek,1730,CHEEK,02a.19
119_jaw,jaw,798,JAW,02a.20
120_face,face,1560,FACE,02a.21
121_chin,chin,1510,CHIN,02a.22
122_eyeball,eyeball,3807,EYEBALL,02a.23
123_nostril,nostril,1178,NOSTRIL,02a.24
124_lip,lip,478,LIP,02a.25
125_molar,molar,1049,MOLAR TOOTH,02a.26
126_throat,throat,1346,THROAT,02a.27
127_neck,neck,1333,NECK,02a.28
128_shoulder,shoulder,1482,SHOULDER,02a.29
129_upperback,upper back,445,UPPER BACK,02a.30
130_lowerback,lower back,3613,LOWER BACK,02a.31
131_spine,spine,805,SPINE,02a.32
132_chest,chest,1592,CHEST,02a.33
133_rib,rib,801,RIB,02a.34
134_nipple,nipple,796,NIPPLE,02a.35
135_lung,lung,688,LUNG,02a.36
136_waist,waist,1681,WAIST,02a.37
137_navel,navel,1838,NAVEL,02a.38
138_umbilicalcord,umbilical cord,2663,UMBILICAL CORD,02a.39
139_child,child,1304,CHILD (YOUNG HUMAN),02a.40
140_kidney,kidney,489,KIDNEY,02a.41
141_spleen,spleen,1744,SPLEEN,02a.42
142_intestines,intestines,1991,INTESTINES,02a.43
143_hip,hip,1745,HIP,02a.44
144_buttock,buttock,834,BUTTOCKS,02a.45
145_rectum,rectum,1935,ANUS,02a.46
146_arm,arm,1673,ARM,02a.47
147_shoulderblade,shoulder blade,172,SHOULDERBLADE,02a.48
148_rightarm,right arm,,,02a.49
149_leftarm,left arm,,,02a.50
150_armpit,armpit,1886,ARMPIT,02a.51
151_elbow,elbow,981,ELBOW,02a.52
152_palmofhand,palm of hand,1183,PALM OF HAND,02a.53
153_finger,finger,1303,FINGER,02a.54
154_thumb,thumb,1781,THUMB,02a.55
155_leg,leg,1297,LEG,02a.56
156_thigh,thigh,471,UPPER LEG (THIGH),02a.57
157_shin,shin,186,SHIN,02a.58
158_calf,calf,1989,CALF,02a.59
159_heel,heel,980,HEEL,02a.60
160_sole,sole,2666,SOLE (FOOT),02a.61
161_toe,toe,1389,TOE,02a.62
162_pus,pus,1808,PUS,02a.63
163_earwax,earwax,32,EARWAX,02a.64
164_tears,tears,1651,TEAR (OF EYE),02a.65
165_nasalmucus,nasal mucus,208,NASAL MUCUS (SNOT),02a.66
166_saliva,saliva,1503,SALIVA,02a.67
167_sputum,sputum,3061,PHLEGM,02a.68
168_breath,breath,870,BREATH,02a.69
169_vomit,vomit,1278,VOMIT,02a.70
170_bile,bile,1780,BILE,02a.71
171_feces,feces,675,FAECES (EXCREMENT),02a.72
172_urine,urine,1142,URINE,02a.73
173_sweat,sweat,125,SWEAT (SUBSTANCE),02a.74
174_bring,bring,692,BRING,02b1.01
175_come,come,1446,COME,02b1.02
176_approach,approach,1778,APPROACH,02b1.03
177_pull,pull,1455,PULL,02b1.04
178_go,go,695,GO,02b1.05
179_enter,enter,749,ENTER,02b1.06
180_goout,go out,1107,GO OUT,02b1.07
181_causetogoout,cause to go out,,,02b1.07a
182_goaround,go around,,,02b1.08
183_causetogoaround,cause to go around,,,02b1.08a
184_runaway,run away,2142,RUN AWAY,02b1.09
185_take,take,1749,TAKE,02b1.10
186_push,push,1452,PUSH,02b1.11
187_send,send,1127,SEND,02b1.12
188_ascend,ascend,705,GO UP (ASCEND),02b1.13
189_descend,descend,2014,GO DOWN (DESCEND),02b1.14
190_accompany,accompany,1542,ACCOMPANY,02b1.15
191_escort,escort,,,02b1.16
192_follow,follow,1085,FOLLOW,02b1.17
193_chase,chase,,,02b1.18
194_catch,catch,702,CATCH,02b1.19
195_hold,hold,1448,HOLD,02b1.20
196_drawback,draw back,,,02b1.21
197_causetodrawback,cause to draw back,,,02b1.21a
198_reachfor,reach for,,,02b1.22
199_holdout,hold out,,,02b1.23
200_drawback,draw back,,,02b1.24
201_limp,limp,366,LIMP,02b1.25
202_jumpup,jump up,1829,JUMP,02b1.26
203_jumpover,jump over,,,02b1.27
204_jumpdown,jump down,,,02b1.28
205_jumpacross,jump across,,,02b1.29
206_crawl,crawl,96,CRAWL,02b1.30
207_rollover,roll over,,,02b1.31
208_run,run,1519,RUN,02b1.32
209_stoopbenddown,stoop (bend down),2761,BEND (ONESELF),02b1.33
210_stamp,stamp,3618,STAMP,02b1.34
211_stepon,step on,575,TREAD,02b1.35
212_pressdown,press down,1913,PRESS,02b1.36
213_strike,strike,353,STRIKE,02b1.37
214_throwaway,throw away,3696,THROW AWAY,02b1.38
215_stretchitr,stretch (itr),214,STRETCH,02b1.39
216_tremble,tremble,52,SHIVER,02b1.40
217_jerkbecauseoffright,jerk (because of fright),,,02b1.41
218_swing,swing,2871,SWING (MOVEMENT),02b1.42
219_turnover,turn over,1588,TURN,02b1.43
220_turnback,turn back,,,02b1.44
221_climb,climb,1102,CLIMB,02b1.45
222_collide,collide,,,02b1.46
223_crossriver,cross (river),574,TRANSIT,02b1.47
224_swim,swim,1439,SWIM,02b1.48
225_wait,wait,1590,WAIT (FOR),02b1.49
226_stop,stop,2880,HALT (STOP),02b1.50
227_feelbytouch,feel (by touch),2559,FEEL (TACTUALLY),02b1.51
228_touch,touch,1892,TOUCH,02b1.52
229_movestiritr,"move, stir (itr)",,,02b1.53
230_movetootherplace,move to other place,2874,MOVE (ONESELF),02b1.54
231_shiftsth,shift s.th.,765,MOVE,02b1.54a
232_slip,slip,1324,SLIP,02b1.55
233_fallover,fall over,2894,TUMBLE (FALL DOWN),02b1.56
234_stumble,stumble,3617,STUMBLE,02b1.57
235_falldown,fall down,1280,FALL,02b1.58
236_getupitr,get up (itr),,,02b1.59
237_pickup,pick up,371,PICK UP,02b1.59a
238_hurry,hurry,754,HURRY,02b1.60
239_kick,kick,1135,KICK,02b1.61
240_shake,shake,1909,SHAKE,02b1.62
241_shiver,shiver,52,SHIVER,02b1.63
242_nodwithhead,nod (with head),,,02b1.64
243_belch,belch,2245,BELCH,02b2.01
244_blink,blink,1655,BLINK,02b2.02
245_blowwithmouth,blow (with mouth),176,BLOW (WITH MOUTH),02b2.03
246_blownose,blow nose,2679,BLOW (WITH NOSE),02b2.04
247_clearthroat,clear throat,,,02b2.05
248_spit,spit,1440,SPIT,02b2.06
249_defecate,defecate,676,SHIT (DEFECATE),02b2.07
250_urinate,urinate,592,PISS,02b2.08
251_yawn,yawn,1028,YAWN,02b2.09
252_smellsenseodor,smell (sense odor),1586,SMELL (PERCEIVE),02b2.10
